transactionId;basket;customerType;totalAmount;returnLabel
9534310106;[4, 3, 4];new;252;1
7202594767;[4, 2, 0, 2, 5];existing;70;0
2737331698;[5];existing;84;0
4868011733;[1, 4, 2, 4];existing;116;0
7622406570;[2, 5, 3, 2, 3, 2, 0];existing;378;0
5023376715;[3, 1, 3, 4];existing;80;1
6369326559;[4, 0, 0, 0, 5, 1];existing;60;0
6726314328;[2, 4, 4, 4, 4, 2, 4];existing;616;1
3991839024;[4, 1, 4, 4, 2, 0, 0, 4, 4, 1];existing;100;0
8428315544;[2, 0, 3, 2, 3, 1, 4, 1];new;376;0
2930119417;[5, 3, 3];existing;294;0
1185682001;[2, 4, 3, 3, 2, 4, 3, 3, 4, 4, 3];existing;1232;1
2943511932;[3, 5, 1, 5, 0, 1];new;84;0
1568500392;[3, 4];new;204;0
1095938143;[0, 4];existing;82;0
8222551259;[3, 4, 3, 4, 4, 0, 1];new;616;1
9968851707;[3, 4, 5, 5];existing;264;0
3615187467;[3, 3, 5, 1, 0, 4, 0, 5];new;648;0
4018074078;[0, 5, 0, 1, 3, 5, 0];existing;497;0
6552241284;[1, 4, 2];existing;30;0
9762118559;[3];new;59;1
5178220525;[4];new;42;1
3021161991;[3, 5, 4, 1, 2];existing;50;0
6062073585;[1, 0, 1];existing;234;0
8055293922;[1, 1, 5, 0, 5, 3];new;450;0
5096788999;[5, 5, 0, 3, 0, 1, 1, 4];new;120;0
8957180249;[4, 3, 3, 4, 4, 1];existing;402;1
9810899067;[0, 3, 0, 3, 3];existing;50;0
5774349581;[1, 5, 0, 5, 5, 3];new;204;0
4844181878;[1, 2, 3, 1, 2, 5];new;462;0
3528209973;[2];existing;53;0
4264452402;[4, 3, 3, 4, 4, 1, 2, 3, 4, 2, 1];new;869;1
5821923471;[2, 4, 4, 3, 4];existing;390;1
8790907625;[0];new;10;0
2788887646;[4, 5, 3];;30;0
3330468764;[4, 2, 3, 3, 4, 3, 1, 1];new;784;1
2043515139;[4, 0, 0, 4, 4, 0, 1];new;266;0
1643822060;[4, 1];new;130;0
2224669999;[5, 3, 1, 3];new;368;0
5694613225;[0, 4, 1, 0, 3, 5, 3];existing;490;0
8105848933;[3, 2, 2];new;225;0
8187564503;[4, 4, 0, 3, 4];existing;60;1
8339977052;[2];new;31;0
7232129514;[2, 1, 4, 5];existing;248;0
9522348583;[4, 4, 3, 4, 1, 3];new;372;1
8288418733;[3, 0, 3, 1, 0, 3];existing;546;0
4037090532;[5, 4, 0, 2, 2, 3, 3];existing;70;0
3058160144;[1, 3, 2, 3, 2];existing;210;0
9566293459;[3, 1, 0, 4, 5, 2, 5];new;329;0
6918664395;[3, 2, 5, 3, 3, 1];existing;264;0
2566311781;[1];existing;10;0
8580080413;[1];;18;0
2056126952;[4, 3];new;82;1
4037801900;[3, 4];existing;198;1
9159466272;[1];existing;76;0
5965839117;[4, 5];existing;148;0
6202618478;[5, 1, 4, 5, 5, 4];existing;120;0
5069174584;[3, 0, 2, 1];existing;148;0
1302953030;[2, 5];existing;42;0
9141845581;[2, 0, 3];existing;93;0
7300648418;[4, 1, 4, 3];existing;108;1
5368127214;[0];existing;10;0
5119759916;[0, 3, 0, 3, 4, 2, 0, 3, 3];new;774;1
7948234618;[2, 5, 3, 5, 4, 3];existing;384;0
6846723315;[4, 0, 2, 1, 3, 4];new;102;0
1341076966;[2, 5, 1];existing;30;0
6589997399;[2, 1, 2, 5, 2];existing;330;0
2459605990;[3, 1, 1, 4, 0, 1];new;132;0
6562603867;[2, 0];existing;144;0
9913365074;[3, 1, 2, 0, 4];existing;480;0
5352907112;[1, 5, 0, 0, 5, 1, 0, 3];existing;544;0
2734061907;[5, 4, 4, 4];existing;40;0
3140886072;[2, 2, 5, 1, 2];new;50;0
8153965217;[1, 0, 0];existing;63;0
8375754135;[0, 2, 0, 1, 0, 1, 4, 3];new;760;1
5220569517;[4, 3, 4, 1];new;88;1
9313260329;[5, 2, 1, 0, 2, 3, 2, 2, 4];existing;207;0
4648724253;[4];existing;57;0
7101369176;[4, 2, 3, 3, 1, 5];new;282;0
9214995516;[2, 4, 0, 2, 4];existing;50;0
9376037097;[3, 1, 4, 2];new;428;1
3939934354;[4, 4, 4];existing;210;1
1571426912;[1, 1, 3, 3, 3, 4];existing;282;0
2368139140;[2, 4, 4, 2, 2, 4, 4];new;805;1
1206803174;[0, 4, 3, 3];existing;468;1
4348760523;[4, 3];new;70;1
7579813631;[1, 5, 3, 1, 5];existing;105;0
4046126347;[1];existing;30;0
2444244904;[2, 4, 4, 5, 0, 5, 1];existing;574;0
6842138024;[5, 5];existing;98;0
6310208848;[0, 2, 5, 2];new;248;0
4462682644;[0, 4, 2, 2, 2];existing;245;0
8364080897;[2, 5, 4, 4, 1];existing;50;0
6993338426;[2, 2, 4];existing;189;0
4611253763;[4, 4, 1, 4, 4, 4, 1];existing;168;0
5579160315;[1, 3];existing;94;0
4208935582;[0];existing;19;0
4544140985;[3, 4, 4, 3, 4, 4, 3];new;329;1
8970771512;[4, 4, 0, 0, 1, 1, 4, 4];new;232;1
4980939514;[4, 4, 4, 3, 3, 3, 4, 2];existing;552;1
9037734614;[1];existing;41;0
7049830393;[4, 3, 1, 1, 0, 5];existing;798;0
6121304908;[0, 1, 1];existing;318;0
4085893156;[0, 5, 2];existing;270;0
8100430906;[3, 0, 3, 2, 4, 0, 0];new;406;0
8189526565;[4, 4];existing;106;1
5250020085;[2, 3, 0, 4, 2, 4, 0, 3];existing;712;0
2721678156;[3, 0, 4];new;243;0
3786722155;[1, 4, 5, 4, 4, 5, 2];existing;497;0
9965911597;[4, 2, 2, 1, 3];new;295;1
8138868644;[2, 5, 0, 4];new;232;0
9428698622;[3, 0, 2, 2, 5];existing;185;0
3675775791;[2, 3, 4, 2];existing;300;0
6458849111;[1, 5, 1, 0];existing;352;0
3717887700;[3, 5, 1, 2, 1, 2, 4, 0, 3];new;423;0
8003311751;[4, 0, 0, 1, 4, 0, 1];new;119;0
3134312757;[3, 0];existing;22;0
6394748559;[5, 3];existing;20;0
8130152426;[4, 3, 3, 4];new;196;1
9728648005;[5, 1, 1, 3];existing;136;0
3143645946;[3];existing;93;0
8370724869;[4, 4, 3, 3, 1, 3];new;60;1
5077035202;[3, 2, 5, 0, 0, 1];existing;282;0
5479121069;[0, 4];new;120;1
9975179883;[4, 4, 4];;216;1
5876065069;[2, 1, 3, 2, 2, 5, 5];existing;;0
1364704856;[3, 3, 3, 3, 1, 4, 4, 1, 0, 4];;720;1
9851944471;[4];existing;81;1
7000300642;[4, 3, 0, 2];new;100;0
8269327885;[1];existing;50;1
4734134818;[4, 5, 2, 4, 1, 5, 5, 2, 3, 3];new;500;0
6171635885;[4, 0];existing;;1
3077897762;[0];existing;40;0
1359524199;[0, 3, 0, 3, 5, 5, 0, 1, 2];existing;504;0
1321700746;[2, 5, 5, 2, 4, 1, 4, 1, 0];existing;108;0
1208522120;[3, 5, 0, 5, 2, 2, 3];existing;196;0
